clique,version,title,performer,id
0,0,Under Control,Beth,P_546633
1,0,Pullman,Nuova Equipe 84,P_609600
2,0,Mandolin Man,Jim & Jesse,P_778616
3,0,Through My Sails,Micadelia,P_469786
4,0,Three Imaginary Boys,Sarabeth Tucek,P_85652
5,0,Dark Blue,Jack's Mannequin,P_399220
6,0,Reasons to Quit,Merle Haggard/Willie Nelson,P_343177
7,0,My Little Underground,Justine Never Knew the Rules feat. Flavia Biggs,P_397112
8,0,Bortom månen & Mars,Perssons Pack,P_346402
9,0,Communist's Daughter,Off with Their Heads,P_342100
10,0,Hjärtat är ett trubbigt instrument,Claes Janson & Internationalorkestern,P_793220
11,0,Take This Longing,Leonard Cohen,P_1874
12,0,This Could Be the Night,Brian Wilson,P_44714
13,0,Don't You Know Yockomo,"Huey ""Piano"" Smith with His Clowns",P_8212
14,0,Sleep With Me,Edyta Górniak,P_227397
15,0,Castaway,Mark Heard,P_586962
16,0,"The More I Get, the More I Want",Teddy Pendergrass,P_587973
17,0,One Way Gal,Bill Moore,P_782950
18,0,Main Theme [High Heels],Chitose Okashiro,P_794429
19,0,Hope in the Face of Despair,Billy Childs Ensemble,P_788289
20,0,Morning Please Don't Come,Tom Springfield featuring Dusty Springfield,P_290247
21,0,It Girl,Megan Nicole and Jason Chen,P_517705
22,0,Fallin' in Love,"Hamilton, Joe Frank & Reynolds",P_295821
23,0,Downtown,Sioen,P_421544
24,0,Amor de Conuco,Michel Camilo & Tomatito featuring Juan Luis Guerra,P_327198
25,0,Love of a Woman,Horace Andy,P_555665
26,0,We Rock,Grave Digger,P_27142
27,0,Toy Soldiers,Martika,P_28976
28,0,The Kids Aren't Alright,Fall Out Boy,P_684978
29,0,Burst Command Til War,Impaled Nazarene,P_757215
30,0,Magamalabares,Marisa Monte,P_757871
31,0,Pouttin',Sant Andreu Jazz Band,P_740420
32,0,I Started Something I Couldn't Finish,Janice Whaley,P_248064
33,0,25 Years,Dub Spencer & Trance Hill feat. The Catch,P_244948
34,0,New Millennium Cyanide Christ,Meshuggah,P_605642
35,0,"So Long Ago, So Clear",Vangelis,P_603627
36,0,Holly Hop,Bobby Vee,P_606060
37,0,I'm Your Witchdoctor,John Mayall and The Bluesbreakers,P_205016
38,0,You Only Want Me When You're Lonely,Marty Robbins,P_196899
